player_sum,dealer_card,usable_ace,q_value
13,8,1,[-0.02147834  0.155101    0.          0.          0.        ]
19,5,1,[0.40463172 0.0222147  0.         0.         0.        ]
26,4,0,[0. 0. 0. 0. 0.]
16,3,1,[-0.01806144  0.0920327   0.          0.          0.        ]
9,2,0,[-0.03041965  0.18805171  0.          0.          0.        ]
20,4,1,[0.62973413 0.02988084 0.         0.         0.        ]
14,6,1,[-0.01367957  0.12397631  0.          0.          0.        ]
21,7,1,[0.85999581 0.08614564 0.         0.         0.        ]
7,5,0,[-0.01167623  0.07543137  0.          0.          0.        ]
12,1,1,[-0.00098703  0.01464882  0.00300301 -0.00596711  0.00399   ]
28,4,0,[0. 0. 0. 0. 0.]
8,9,0,[-0.04999443 -0.00591712 -0.00794037 -0.00794028 -0.01393228]
22,8,0,[0. 0. 0. 0. 0.]
25,2,0,[0. 0. 0. 0. 0.]
30,2,0,[0. 0. 0. 0. 0.]
28,7,0,[0. 0. 0. 0. 0.]
13,6,1,[-0.00395622  0.13380731  0.          0.          0.        ]
9,7,0,[-0.07090922  0.28766551  0.          0.          0.        ]
6,5,0,"[-4.85281076e-03  7.65716712e-02 -9.95115369e-03 -3.48951748e-03
  5.98801399e-06]"
7,9,0,[-0.04776061  0.0232522   0.          0.          0.        ]
17,5,1,[-0.00286784  0.13919049  0.          0.          0.        ]
19,8,1,[0.56381639 0.02105621 0.         0.         0.        ]
10,5,0,[-0.01992573  0.31314358 -0.00298007 -0.00348952  0.03498494]
18,5,1,[0.01432258 0.17824158 0.         0.         0.        ]
28,3,0,[0. 0. 0. 0. 0.]
5,5,0,[-0.01866187  0.06277957  0.          0.          0.        ]
7,3,0,[-0.02614305  0.05721886  0.          0.          0.        ]
18,2,1,[0.00742357 0.12823947 0.         0.         0.        ]
13,2,1,[-0.01405179  0.12397484  0.          0.          0.        ]
26,1,0,[0. 0. 0. 0. 0.]
30,1,0,[0. 0. 0. 0. 0.]
22,5,0,[0. 0. 0. 0. 0.]
24,9,0,[0. 0. 0. 0. 0.]
26,7,0,[0. 0. 0. 0. 0.]
4,1,0,[-0.01872262 -0.01696093 -0.01782997 -0.01768854 -0.01987244]
5,6,0,[-0.00287436  0.06904561  0.          0.          0.        ]
15,9,1,[-0.03119482  0.08483147  0.          0.          0.        ]
5,1,0,[-0.03824106 -0.00283421  0.          0.          0.        ]
24,4,0,[0. 0. 0. 0. 0.]
6,3,0,[-0.01356773  0.04757533  0.00096925 -0.00448204 -0.01192428]
19,1,1,[0.00087728 0.01244882 0.         0.         0.        ]
16,5,1,[-0.01568192  0.13622006  0.          0.          0.        ]
22,7,0,[0. 0. 0. 0. 0.]
17,7,1,[-0.01265058  0.15718072  0.          0.          0.        ]
15,6,1,[-0.00379731  0.12694671  0.          0.          0.        ]
12,8,1,[-0.00697903  0.09051851  0.01686358 -0.00695468 -0.01785871]
16,7,1,[-0.02151131  0.1812277   0.          0.          0.        ]
4,3,0,[-0.00298404  0.0219675  -0.01194417 -0.00398603 -0.00200003]
17,8,1,[-0.03188191  0.13835199  0.          0.          0.        ]
31,3,0,[0. 0. 0. 0. 0.]
19,6,1,[0.04021969 0.27353331 0.         0.         0.        ]
30,4,0,[0. 0. 0. 0. 0.]
15,7,1,[-0.02020809  0.15800837  0.          0.          0.        ]
20,2,1,[0.62171302 0.02401391 0.         0.         0.        ]
31,2,0,[0. 0. 0. 0. 0.]
23,6,0,[0. 0. 0. 0. 0.]
24,3,0,[0. 0. 0. 0. 0.]
7,4,0,[-0.01245416  0.05839526  0.          0.          0.        ]
15,8,1,[-0.02540228  0.15119805  0.          0.          0.        ]
5,4,0,[-0.00886677  0.05922557  0.          0.          0.        ]
29,1,0,[0. 0. 0. 0. 0.]
15,4,1,[-0.00887332  0.14223334  0.          0.          0.        ]
5,9,0,[-0.03598834  0.03371246  0.          0.          0.        ]
4,8,0,[-0.00498205  0.02775884  0.00199103 -0.00398603 -0.00596005]
16,6,1,[-0.01837451  0.14167562  0.          0.          0.        ]
17,4,1,[-0.00388096  0.12963278  0.          0.          0.        ]
18,4,1,[0.01042559 0.16182993 0.         0.         0.        ]
28,9,0,[0. 0. 0. 0. 0.]
14,9,1,[-0.03001212  0.05511259  0.          0.          0.        ]
17,2,1,[-0.01917764  0.10618871  0.          0.          0.        ]
6,8,0,[-0.03198996  0.04169285  0.00298109 -0.00497756 -0.00198803]
12,7,1,[-0.00099003  0.02553303  0.47304904 -0.00596711  0.00795018]
4,9,0,[-0.00298702  0.01095167 -0.00595914 -0.00596711 -0.01196009]
15,2,1,[-0.02148012  0.11909322  0.          0.          0.        ]
6,2,0,"[-1.27308316e-02  4.73773183e-02 -7.97207587e-06 -3.98602797e-03
  7.97401206e-03]"
18,3,1,[0.02207689 0.1328046  0.         0.         0.        ]
13,3,1,[-0.01542561  0.10011553  0.          0.          0.        ]
4,4,0,[-0.00197708  0.03628768  0.00199406 -0.00448204 -0.01193426]
17,9,1,[-0.02516723  0.07700968  0.          0.          0.        ]
14,4,1,[-0.00671172  0.14005471  0.          0.          0.        ]
12,2,1,[-0.00497903  0.07803173  0.01096506 -0.00547258  0.0079382 ]
31,5,0,[0. 0. 0. 0. 0.]
29,9,0,[0. 0. 0. 0. 0.]
31,8,0,[0. 0. 0. 0. 0.]
31,1,0,[0. 0. 0. 0. 0.]
